Supplementary Table 1. Univariable Cox regression analysis of individual TEs in four endpoints.													
coef	se	z	p	HR	HRse	HRz	HRp	HRCILL	HRCIUL	repName	repFamily	repClass	endpoint
1.098	0.418	2.625	0.009	2.997	1.253	1.594	0.111	1.321	6.799	Kanga1d	TcMar-Tc2	DNA	dfi
0.982	0.403	2.438	0.015	2.669	1.074	1.553	0.12	1.212	5.875	Kanga2_a	TcMar-Tc2	DNA	dfi
1.057	0.418	2.529	0.011	2.876	1.202	1.561	0.118	1.268	6.523	L1M3a	L1	LINE	dfi
1.292	0.436	2.962	0.003	3.642	1.589	1.662	0.096	1.548	8.565	L1M3f	L1	LINE	dfi
1.122	0.418	2.687	0.007	3.072	1.284	1.614	0.106	1.355	6.968	L1M5	L1	LINE	dfi
0.781	0.392	1.991	0.047	2.183	0.856	1.382	0.167	1.012	4.709	L1MB3	L1	LINE	dfi
0.776	0.392	1.981	0.048	2.173	0.851	1.378	0.168	1.008	4.681	L1MB4	L1	LINE	dfi
0.986	0.416	2.371	0.018	2.68	1.114	1.508	0.132	1.186	6.053	L1MC	L1	LINE	dfi
0.782	0.393	1.991	0.047	2.185	0.858	1.381	0.167	1.012	4.717	L1MC4	L1	LINE	dfi
0.953	0.402	2.369	0.018	2.594	1.044	1.527	0.127	1.179	5.709	L1MD	L1	LINE	dfi
1.104	0.421	2.621	0.009	3.015	1.27	1.587	0.112	1.321	6.882	L1MDb	L1	LINE	dfi
0.866	0.396	2.186	0.029	2.376	0.941	1.463	0.144	1.093	5.164	L1ME2z	L1	LINE	dfi
0.781	0.392	1.993	0.046	2.184	0.856	1.383	0.167	1.013	4.709	L1ME3	L1	LINE	dfi
1.192	0.42	2.836	0.005	3.293	1.384	1.657	0.098	1.445	7.504	L1ME3C	L1	LINE	dfi
0.837	0.395	2.119	0.034	2.31	0.913	1.435	0.151	1.065	5.011	L1ME3G	L1	LINE	dfi
1.072	0.416	2.576	0.01	2.922	1.217	1.58	0.114	1.292	6.608	L1ME4a	L1	LINE	dfi
1.172	0.418	2.802	0.005	3.227	1.35	1.65	0.099	1.422	7.324	L1ME4b	L1	LINE	dfi
0.802	0.395	2.028	0.043	2.23	0.882	1.395	0.163	1.027	4.84	L1MEb	L1	LINE	dfi
0.874	0.396	2.206	0.027	2.395	0.949	1.471	0.141	1.102	5.205	L1MEf	L1	LINE	dfi
1.049	0.418	2.512	0.012	2.855	1.193	1.556	0.12	1.259	6.474	L1MEj	L1	LINE	dfi
0.795	0.392	2.03	0.042	2.215	0.867	1.401	0.161	1.028	4.772	L1P3	L1	LINE	dfi
0.834	0.383	2.176	0.03	2.302	0.882	1.476	0.14	1.086	4.876	L1P3b	L1	LINE	dfi
0.957	0.405	2.365	0.018	2.603	1.053	1.522	0.128	1.178	5.754	L1P4b	L1	LINE	dfi
0.783	0.392	1.999	0.046	2.189	0.858	1.386	0.166	1.015	4.718	L1PA10	L1	LINE	dfi
0.801	0.391	2.048	0.041	2.228	0.871	1.409	0.159	1.035	4.795	L1PA12	L1	LINE	dfi
1.085	0.416	2.607	0.009	2.96	1.232	1.591	0.112	1.309	6.693	L1PA13	L1	LINE	dfi
0.823	0.402	2.05	0.04	2.278	0.915	1.397	0.163	1.037	5.007	L1PA15	L1	LINE	dfi
0.855	0.402	2.128	0.033	2.351	0.944	1.43	0.153	1.07	5.166	L1PA15-16	L1	LINE	dfi
1.012	0.404	2.505	0.012	2.752	1.112	1.575	0.115	1.246	6.077	L1PA17	L1	LINE	dfi
0.852	0.402	2.12	0.034	2.344	0.942	1.427	0.154	1.066	5.152	L1PB	L1	LINE	dfi
0.789	0.392	2.016	0.044	2.202	0.862	1.394	0.163	1.022	4.743	L1PB2	L1	LINE	dfi
1.106	0.418	2.644	0.008	3.021	1.263	1.6	0.11	1.331	6.855	L2-3_Crp	L2	LINE	dfi
0.848	0.402	2.11	0.035	2.334	0.938	1.423	0.155	1.062	5.13	L3b	CR1	LINE	dfi
0.828	0.393	2.104	0.035	2.288	0.9	1.431	0.152	1.058	4.945	L4_C_Mam	RTE-X	LINE	dfi
1.058	0.404	2.621	0.009	2.88	1.163	1.617	0.106	1.306	6.354	LFSINE_Vert	tRNA	SINE	dfi
0.855	0.402	2.125	0.034	2.351	0.946	1.428	0.153	1.068	5.171	LTR104_Mam	Gypsy	LTR	dfi
0.878	0.383	2.291	0.022	2.407	0.923	1.525	0.127	1.135	5.102	LTR109A2	ERV1	LTR	dfi
0.772	0.392	1.969	0.049	2.165	0.849	1.372	0.17	1.004	4.67	LTR12D	ERV1	LTR	dfi
1.104	0.416	2.65	0.008	3.015	1.256	1.605	0.109	1.333	6.82	LTR13A	ERVK	LTR	dfi
1.221	0.421	2.899	0.004	3.39	1.428	1.674	0.094	1.485	7.739	LTR16A1	ERVL	LTR	dfi
0.903	0.403	2.241	0.025	2.467	0.995	1.476	0.14	1.12	5.437	LTR16B	ERVL	LTR	dfi
1.246	0.422	2.951	0.003	3.475	1.467	1.687	0.092	1.519	7.948	LTR19-int	ERV1	LTR	dfi
1.064	0.416	2.555	0.011	2.896	1.206	1.573	0.116	1.281	6.55	LTR1B	ERV1	LTR	dfi
0.812	0.403	2.012	0.044	2.251	0.908	1.378	0.168	1.021	4.963	LTR1C3	ERV1	LTR	dfi
0.788	0.393	2.007	0.045	2.199	0.863	1.389	0.165	1.019	4.746	LTR1F2	ERV1	LTR	dfi
0.796	0.392	2.032	0.042	2.216	0.868	1.402	0.161	1.029	4.775	LTR27	ERV1	LTR	dfi
1.278	0.435	2.938	0.003	3.59	1.562	1.658	0.097	1.53	8.423	LTR27D	ERV1	LTR	dfi
0.811	0.391	2.071	0.038	2.25	0.881	1.419	0.156	1.044	4.845	LTR28	ERV1	LTR	dfi
1.042	0.404	2.578	0.01	2.835	1.146	1.601	0.109	1.284	6.261	LTR29	ERV1	LTR	dfi
1.173	0.418	2.804	0.005	3.232	1.352	1.651	0.099	1.424	7.337	LTR33A	ERVL	LTR	dfi
1.267	0.435	2.913	0.004	3.549	1.543	1.652	0.099	1.513	8.323	LTR37B	ERV1	LTR	dfi
1.027	0.417	2.464	0.014	2.792	1.163	1.54	0.124	1.234	6.318	LTR38A1	ERV1	LTR	dfi
0.817	0.393	2.078	0.038	2.264	0.89	1.42	0.156	1.048	4.891	LTR39-int	ERV1	LTR	dfi
0.784	0.392	1.998	0.046	2.19	0.859	1.385	0.166	1.015	4.725	LTR45B	ERV1	LTR	dfi
1.356	0.438	3.094	0.002	3.88	1.701	1.694	0.09	1.644	9.16	LTR55	ERVL?	LTR	dfi
0.877	0.395	2.219	0.027	2.404	0.95	1.477	0.14	1.108	5.217	LTR59	ERV1	LTR	dfi
0.923	0.416	2.218	0.027	2.516	1.046	1.449	0.147	1.113	5.685	LTR79	ERVL	LTR	dfi
0.78	0.394	1.978	0.048	2.182	0.86	1.373	0.17	1.007	4.726	LTR81A	Gypsy	LTR	dfi
0.954	0.397	2.405	0.016	2.597	1.03	1.55	0.121	1.193	5.652	LTR81B	Gypsy	LTR	dfi
0.974	0.397	2.456	0.014	2.649	1.051	1.569	0.117	1.218	5.764	LTR86A2	ERVL	LTR	dfi
1.012	0.416	2.434	0.015	2.751	1.144	1.531	0.126	1.218	6.214	LTR88b	Gypsy?	LTR	dfi
0.869	0.394	2.206	0.027	2.384	0.939	1.474	0.14	1.102	5.159	LTR89	ERVL?	LTR	dfi
0.814	0.397	2.05	0.04	2.256	0.895	1.403	0.161	1.036	4.91	LTR90A	LTR	LTR	dfi
0.888	0.402	2.208	0.027	2.43	0.978	1.463	0.143	1.105	5.346	MamGypLTR1c	Gypsy	LTR	dfi
1.408	0.437	3.221	0.001	4.087	1.786	1.728	0.084	1.735	9.626	MamGypLTR2c	Gypsy	LTR	dfi
0.855	0.402	2.126	0.034	2.351	0.946	1.429	0.153	1.069	5.173	MamTip1	hAT-Tip100	DNA	dfi
0.968	0.403	2.399	0.016	2.632	1.061	1.537	0.124	1.194	5.802	MER101B	ERV1	LTR	dfi
1.066	0.416	2.562	0.01	2.903	1.207	1.576	0.115	1.285	6.559	MER103C	hAT-Charlie	DNA	dfi
0.914	0.402	2.271	0.023	2.494	1.004	1.488	0.137	1.133	5.489	MER112	hAT-Charlie	DNA	dfi
0.778	0.392	1.984	0.047	2.177	0.854	1.379	0.168	1.009	4.696	MER115	hAT-Tip100	DNA	dfi
0.894	0.402	2.222	0.026	2.444	0.983	1.469	0.142	1.111	5.376	MER11D	ERVK	LTR	dfi
0.791	0.402	1.97	0.049	2.207	0.886	1.361	0.173	1.004	4.849	MER121	hAT?	DNA	dfi
0.82	0.394	2.083	0.037	2.271	0.894	1.422	0.155	1.05	4.912	MER31-int	ERV1	LTR	dfi
1.133	0.418	2.711	0.007	3.106	1.299	1.622	0.105	1.369	7.049	MER4-int	ERV1	LTR	dfi
1.013	0.404	2.509	0.012	2.754	1.112	1.577	0.115	1.248	6.076	MER46C	TcMar-Tigger	DNA	dfi
0.79	0.396	1.996	0.046	2.203	0.872	1.38	0.168	1.014	4.787	MER51E	ERV1	LTR	dfi
0.915	0.396	2.312	0.021	2.497	0.989	1.515	0.13	1.149	5.425	MER52-int	ERV1	LTR	dfi
0.801	0.392	2.044	0.041	2.228	0.873	1.406	0.16	1.033	4.804	MER52A	ERV1	LTR	dfi
0.946	0.403	2.345	0.019	2.575	1.039	1.516	0.129	1.168	5.678	MER5C	hAT-Charlie	DNA	dfi
0.867	0.402	2.155	0.031	2.379	0.957	1.441	0.15	1.082	5.234	MER5C1	hAT-Charlie	DNA	dfi
0.876	0.402	2.18	0.029	2.402	0.965	1.452	0.146	1.093	5.28	MER61-int	ERV1	LTR	dfi
0.998	0.403	2.474	0.013	2.712	1.094	1.565	0.118	1.23	5.978	MER61C	ERV1	LTR	dfi
0.878	0.403	2.18	0.029	2.405	0.968	1.451	0.147	1.092	5.295	MER65-int	ERV1	LTR	dfi
0.912	0.396	2.306	0.021	2.49	0.985	1.512	0.13	1.147	5.409	MER65A	ERV1	LTR	dfi
-0.824	0.418	-1.972	0.049	0.439	0.183	-3.063	0.002	0.193	0.995	MER67C	ERV1	LTR	dfi
0.794	0.402	1.975	0.048	2.212	0.889	1.363	0.173	1.006	4.862	MER67D	ERV1	LTR	dfi
0.953	0.404	2.361	0.018	2.594	1.047	1.522	0.128	1.176	5.722	MER6B	TcMar-Tigger	DNA	dfi
0.936	0.404	2.319	0.02	2.549	1.029	1.506	0.132	1.156	5.623	MER83A-int	ERV1	LTR	dfi
0.79	0.388	2.037	0.042	2.204	0.855	1.408	0.159	1.03	4.713	MER87	ERV1	LTR	dfi
0.774	0.391	1.977	0.048	2.168	0.848	1.377	0.169	1.007	4.668	MER91C	hAT-Tip100	DNA	dfi
0.868	0.402	2.16	0.031	2.383	0.958	1.444	0.149	1.084	5.24	MER92-int	ERV1	LTR	dfi
0.79	0.386	2.048	0.041	2.203	0.85	1.416	0.157	1.034	4.693	MER92B	ERV1	LTR	dfi
0.975	0.404	2.415	0.016	2.652	1.071	1.542	0.123	1.202	5.851	MIR3	MIR	SINE	dfi
0.862	0.402	2.144	0.032	2.367	0.951	1.437	0.151	1.077	5.204	MLT1F2-int	ERVL-MaLR	LTR	dfi
0.918	0.402	2.282	0.022	2.503	1.006	1.494	0.135	1.138	5.504	MLT1G3	ERVL-MaLR	LTR	dfi
1.065	0.417	2.554	0.011	2.901	1.21	1.572	0.116	1.281	6.568	MLT1H1-int	ERVL-MaLR	LTR	dfi
1.111	0.416	2.669	0.008	3.038	1.265	1.611	0.107	1.344	6.871	MLT1O	ERVL-MaLR	LTR	dfi
0.889	0.396	2.243	0.025	2.433	0.964	1.486	0.137	1.119	5.291	MSTA-int	ERVL-MaLR	LTR	dfi
0.836	0.392	2.132	0.033	2.308	0.905	1.444	0.149	1.07	4.978	MSTB1-int	ERVL-MaLR	LTR	dfi
1.082	0.416	2.599	0.009	2.949	1.227	1.588	0.112	1.305	6.667	Ricksha_b	MULE-MuDR	DNA	dfi
0.887	0.397	2.237	0.025	2.428	0.963	1.483	0.138	1.116	5.281	THE1B-int	ERVL-MaLR	LTR	dfi
0.834	0.392	2.127	0.033	2.303	0.903	1.443	0.149	1.068	4.966	Tigger16a	TcMar-Tigger	DNA	dfi
0.893	0.396	2.255	0.024	2.443	0.967	1.491	0.136	1.124	5.309	Tigger2	TcMar-Tigger	DNA	dfi
0.811	0.393	2.065	0.039	2.251	0.884	1.414	0.157	1.042	4.862	Tigger4b	TcMar-Tigger	DNA	dfi
0.985	0.407	2.418	0.016	2.678	1.091	1.538	0.124	1.205	5.953	Tigger8	TcMar-Tigger	DNA	dfi
0.777	0.391	1.988	0.047	2.176	0.851	1.382	0.167	1.011	4.681	UCON49	L2	LINE	dfi
1.006	0.404	2.492	0.013	2.736	1.105	1.571	0.116	1.24	6.037	X7A_LINE	CR1	LINE	dfi
0.793	0.388	2.047	0.041	2.211	0.857	1.413	0.158	1.034	4.726	X7B_LINE	CR1	LINE	dfi
1.002	0.416	2.406	0.016	2.723	1.134	1.519	0.129	1.204	6.16	X8_LINE	CR1	LINE	dfi
0.966	0.416	2.32	0.02	2.627	1.094	1.488	0.137	1.162	5.942	X9_LINE	L1	LINE	dfi
0.632	0.245	2.579	0.01	1.88	0.46	1.912	0.056	1.164	3.039	AluJb	Alu	SINE	dss
0.568	0.243	2.343	0.019	1.765	0.428	1.787	0.074	1.097	2.84	AluSg4	Alu	SINE	dss
0.531	0.241	2.2	0.028	1.7	0.41	1.707	0.088	1.06	2.728	AluSp	Alu	SINE	dss
0.552	0.241	2.288	0.022	1.737	0.419	1.758	0.079	1.082	2.787	AluSq4	Alu	SINE	dss
0.495	0.241	2.052	0.04	1.64	0.395	1.619	0.105	1.022	2.631	AluSx3	Alu	SINE	dss
0.556	0.241	2.307	0.021	1.744	0.42	1.77	0.077	1.087	2.797	AluSz6	Alu	SINE	dss
0.483	0.241	2.007	0.045	1.622	0.391	1.592	0.111	1.011	2.6	AluYa5	Alu	SINE	dss
0.625	0.244	2.566	0.01	1.869	0.455	1.908	0.056	1.159	3.012	AluYa8	Alu	SINE	dss
0.561	0.241	2.326	0.02	1.753	0.423	1.78	0.075	1.092	2.812	AluYe5	Alu	SINE	dss
0.655	0.244	2.689	0.007	1.925	0.469	1.973	0.048	1.194	3.103	AluYj4	Alu	SINE	dss
0.474	0.24	1.972	0.049	1.606	0.386	1.571	0.116	1.003	2.571	AluYk11	Alu	SINE	dss
0.546	0.242	2.26	0.024	1.727	0.417	1.741	0.082	1.075	2.773	Chap1_Mam	hAT-Charlie	DNA	dss
0.478	0.241	1.984	0.047	1.612	0.388	1.577	0.115	1.006	2.585	Charlie16a	hAT-Charlie	DNA	dss
0.579	0.241	2.398	0.016	1.783	0.43	1.821	0.069	1.111	2.862	Charlie17a	hAT-Charlie	DNA	dss
-0.56	0.241	-2.326	0.02	0.571	0.138	-3.118	0.002	0.356	0.916	Charlie25	hAT-Charlie	DNA	dss
0.491	0.24	2.048	0.041	1.634	0.391	1.619	0.105	1.021	2.612	ERVL-B4-int	ERVL	LTR	dss
0.525	0.241	2.179	0.029	1.69	0.407	1.696	0.09	1.054	2.71	ERVL-E-int	ERVL	LTR	dss
0.725	0.245	2.962	0.003	2.066	0.506	2.106	0.035	1.278	3.338	FAM	Alu	SINE	dss
0.571	0.243	2.353	0.019	1.77	0.43	1.792	0.073	1.1	2.849	FLAM_A	Alu	SINE	dss
0.692	0.245	2.825	0.005	1.997	0.489	2.039	0.041	1.236	3.228	FordPrefect	hAT-Tip100	DNA	dss
0.579	0.242	2.392	0.017	1.784	0.432	1.816	0.069	1.11	2.866	FRAM	Alu	SINE	dss
0.558	0.245	2.279	0.023	1.746	0.427	1.747	0.081	1.081	2.821	HAL1M8	L1	LINE	dss
0.603	0.243	2.478	0.013	1.828	0.445	1.861	0.063	1.134	2.946	HERV9-int	ERV1	LTR	dss
0.72	0.249	2.887	0.004	2.055	0.513	2.058	0.04	1.26	3.35	HERVH48-int	ERV1	LTR	dss
0.505	0.243	2.077	0.038	1.656	0.402	1.631	0.103	1.029	2.667	HERVIP10FH-int	ERV1	LTR	dss
0.485	0.241	2.013	0.044	1.624	0.391	1.595	0.111	1.013	2.603	HERVK13-int	ERVK	LTR	dss
0.562	0.241	2.332	0.02	1.754	0.422	1.784	0.074	1.094	2.812	HERVP71A-int	ERV1	LTR	dss
0.566	0.243	2.332	0.02	1.761	0.427	1.781	0.075	1.095	2.833	HSMAR2	TcMar-Mariner	DNA	dss
0.513	0.245	2.093	0.036	1.67	0.409	1.637	0.102	1.033	2.7	Kanga1	TcMar-Tc2	DNA	dss
0.579	0.241	2.398	0.016	1.784	0.431	1.821	0.069	1.112	2.864	Kanga1c	TcMar-Tc2	DNA	dss
0.477	0.241	1.98	0.048	1.611	0.388	1.575	0.115	1.005	2.583	L1ME3C	L1	LINE	dss
0.491	0.241	2.038	0.042	1.634	0.394	1.61	0.107	1.019	2.62	L1ME5	L1	LINE	dss
0.582	0.243	2.4	0.016	1.79	0.435	1.819	0.069	1.113	2.881	L1P1	L1	LINE	dss
0.545	0.241	2.263	0.024	1.724	0.415	1.744	0.081	1.076	2.764	L1P4e	L1	LINE	dss
0.509	0.243	2.094	0.036	1.664	0.405	1.641	0.101	1.033	2.68	L1PA12	L1	LINE	dss
0.48	0.24	1.999	0.046	1.615	0.387	1.588	0.112	1.009	2.585	L1PA3	L1	LINE	dss
0.592	0.243	2.438	0.015	1.807	0.439	1.84	0.066	1.123	2.909	L1PA5	L1	LINE	dss
0.562	0.24	2.343	0.019	1.755	0.421	1.792	0.073	1.096	2.809	L2-1_AMi	L2	LINE	dss
-0.643	0.247	-2.604	0.009	0.526	0.13	-3.654	0	0.324	0.853	L5	RTE-X	LINE	dss
0.526	0.247	2.126	0.033	1.692	0.418	1.654	0.098	1.042	2.746	LTR102_Mam	ERVL	LTR	dss
0.544	0.243	2.242	0.025	1.723	0.418	1.729	0.084	1.071	2.772	LTR104_Mam	Gypsy	LTR	dss
0.469	0.237	1.979	0.048	1.598	0.379	1.58	0.114	1.004	2.543	LTR109A2	ERV1	LTR	dss
0.486	0.241	2.019	0.043	1.626	0.392	1.599	0.11	1.014	2.607	LTR10F	ERV1	LTR	dss
0.561	0.241	2.325	0.02	1.752	0.422	1.78	0.075	1.092	2.81	LTR12E	ERV1	LTR	dss
0.653	0.245	2.669	0.008	1.921	0.47	1.96	0.05	1.189	3.104	LTR13	ERVK	LTR	dss
0.597	0.243	2.463	0.014	1.817	0.441	1.854	0.064	1.13	2.923	LTR16B1	ERVL	LTR	dss
0.562	0.241	2.33	0.02	1.754	0.423	1.783	0.075	1.093	2.814	LTR16E2	ERVL	LTR	dss
0.526	0.241	2.184	0.029	1.693	0.408	1.698	0.09	1.055	2.715	LTR17	ERV1	LTR	dss
0.503	0.238	2.111	0.035	1.654	0.394	1.659	0.097	1.037	2.638	LTR19A	ERV1	LTR	dss
0.522	0.239	2.182	0.029	1.686	0.404	1.699	0.089	1.055	2.696	LTR19B	ERV1	LTR	dss
0.473	0.239	1.975	0.048	1.604	0.384	1.574	0.115	1.004	2.564	LTR1C1	ERV1	LTR	dss
0.489	0.24	2.042	0.041	1.631	0.391	1.615	0.106	1.02	2.608	LTR1E	ERV1	LTR	dss
0.705	0.247	2.857	0.004	2.025	0.5	2.05	0.04	1.248	3.285	LTR2	ERV1	LTR	dss
0.576	0.24	2.397	0.017	1.779	0.428	1.822	0.068	1.111	2.85	LTR21B	ERV1	LTR	dss
0.483	0.239	2.019	0.044	1.621	0.388	1.601	0.109	1.014	2.591	LTR22B1	ERVK	LTR	dss
0.484	0.238	2.034	0.042	1.623	0.386	1.612	0.107	1.018	2.588	LTR22C0	ERVK	LTR	dss
0.579	0.243	2.386	0.017	1.784	0.433	1.811	0.07	1.109	2.87	LTR23	ERV1	LTR	dss
0.559	0.243	2.304	0.021	1.749	0.425	1.765	0.078	1.087	2.815	LTR24	ERV1	LTR	dss
0.552	0.243	2.272	0.023	1.736	0.422	1.746	0.081	1.079	2.795	LTR29	ERV1	LTR	dss
0.544	0.241	2.258	0.024	1.723	0.415	1.741	0.082	1.074	2.764	LTR35B	ERV1	LTR	dss
0.806	0.252	3.197	0.001	2.238	0.564	2.195	0.028	1.366	3.669	LTR38A1	ERV1	LTR	dss
0.764	0.248	3.083	0.002	2.148	0.532	2.156	0.031	1.321	3.492	LTR39	ERV1	LTR	dss
0.522	0.241	2.168	0.03	1.686	0.406	1.689	0.091	1.051	2.703	LTR43B	ERV1	LTR	dss
0.515	0.24	2.149	0.032	1.673	0.401	1.68	0.093	1.046	2.676	LTR45B	ERV1	LTR	dss
0.626	0.245	2.56	0.01	1.87	0.457	1.902	0.057	1.158	3.021	LTR47B4	ERVL	LTR	dss
0.848	0.252	3.364	0.001	2.336	0.589	2.268	0.023	1.425	3.829	LTR5_Hs	ERVK	LTR	dss
0.518	0.243	2.134	0.033	1.678	0.407	1.665	0.096	1.043	2.701	LTR59	ERV1	LTR	dss
1.115	0.263	4.238	0	3.048	0.802	2.555	0.011	1.821	5.104	LTR5B	ERVK	LTR	dss
0.594	0.247	2.406	0.016	1.811	0.447	1.815	0.07	1.117	2.938	LTR62	ERVL	LTR	dss
-0.688	0.245	-2.809	0.005	0.503	0.123	-4.04	0	0.311	0.812	LTR69	ERVL	LTR	dss
0.634	0.245	2.59	0.01	1.885	0.461	1.918	0.055	1.167	3.045	LTR7	ERV1	LTR	dss
0.492	0.24	2.055	0.04	1.636	0.392	1.623	0.105	1.023	2.617	LTR75	ERVL	LTR	dss
0.517	0.241	2.146	0.032	1.677	0.404	1.676	0.094	1.046	2.688	LTR75_1	ERV1	LTR	dss
0.47	0.239	1.969	0.049	1.6	0.382	1.572	0.116	1.002	2.553	LTR76	ERV1	LTR	dss
0.628	0.243	2.584	0.01	1.874	0.456	1.918	0.055	1.164	3.018	LTR7B	ERV1	LTR	dss
0.535	0.241	2.219	0.026	1.708	0.412	1.718	0.086	1.064	2.739	LTR7C	ERV1	LTR	dss
0.555	0.243	2.288	0.022	1.742	0.423	1.756	0.079	1.083	2.803	LTR8	ERV1	LTR	dss
0.499	0.239	2.085	0.037	1.647	0.394	1.641	0.101	1.03	2.633	LTR87	ERVL?	LTR	dss
0.493	0.241	2.049	0.04	1.638	0.394	1.617	0.106	1.022	2.626	LTR88a	Gypsy?	LTR	dss
0.487	0.241	2.023	0.043	1.628	0.392	1.601	0.109	1.015	2.61	LTR9B	ERV1	LTR	dss
0.577	0.243	2.379	0.017	1.781	0.432	1.807	0.071	1.107	2.867	MamGypLTR3a	Gypsy	LTR	dss
0.659	0.245	2.691	0.007	1.932	0.473	1.971	0.049	1.196	3.122	MER11D	ERVK	LTR	dss
0.671	0.245	2.741	0.006	1.956	0.479	1.997	0.046	1.211	3.159	MER1A	hAT-Charlie	DNA	dss
1.223	0.267	4.581	0	3.399	0.908	2.643	0.008	2.014	5.736	MER1B	hAT-Charlie	DNA	dss
0.693	0.245	2.83	0.005	2	0.49	2.042	0.041	1.237	3.231	MER21-int	ERVL	LTR	dss
0.86	0.252	3.409	0.001	2.364	0.597	2.286	0.022	1.442	3.877	MER21C	ERVL	LTR	dss
0.714	0.247	2.885	0.004	2.042	0.505	2.062	0.039	1.257	3.317	MER33	hAT-Charlie	DNA	dss
0.549	0.245	2.244	0.025	1.731	0.423	1.727	0.084	1.072	2.796	MER34C2	ERV1	LTR	dss
0.742	0.25	2.974	0.003	2.101	0.525	2.099	0.036	1.288	3.427	MER39	ERV1	LTR	dss
0.504	0.24	2.103	0.035	1.656	0.397	1.652	0.099	1.035	2.65	MER41B	ERV1	LTR	dss
0.588	0.245	2.404	0.016	1.801	0.441	1.818	0.069	1.115	2.909	MER44B	TcMar-Tigger	DNA	dss
0.5	0.243	2.06	0.039	1.649	0.4	1.621	0.105	1.025	2.653	MER44D	TcMar-Tigger	DNA	dss
0.768	0.249	3.08	0.002	2.155	0.537	2.15	0.032	1.322	3.512	MER47C	TcMar-Tigger	DNA	dss
0.704	0.245	2.877	0.004	2.022	0.495	2.065	0.039	1.252	3.267	MER48	ERV1	LTR	dss
0.53	0.243	2.185	0.029	1.699	0.412	1.696	0.09	1.056	2.733	MER49	ERV1	LTR	dss
